epoch,step,loss,lr,epoch_time_s,samples_per_s
1,475,0.445265,5.00e-05,77.42,196
10,4750,0.391855,4.88e-05,47.44,320
20,9500,0.345331,4.53e-05,47.45,320
30,14250,0.258637,3.98e-05,47.38,320
40,19000,0.308016,3.29e-05,47.42,320
50,23750,0.338479,2.53e-05,47.46,320
60,28500,0.323373,1.76e-05,47.38,321
70,33250,0.305198,1.07e-05,47.44,320
80,38000,0.329372,5.23e-06,47.46,320
90,42750,0.276705,1.71e-06,47.32,321
100,47500,0.242887,5.00e-07,47.44,320
